COD_EMPRESA;CIF;DENOMINACION
0087;B65123456;Transportes Vilanova, S.L.
0112;J62884109;Forn de Pa Rovira, S.C.P.
0045;B66491027;Clínica Dental Solsona, S.L.
0203;A08774512;Metalúrgica Camps, S.A.
0091;B63019887;Neteges Bages, S.L.
0134;B64221740;Òptica Ferran, S.L.U.
0200;A10000000;Fusteria Bonet
0201;B10073529;Assessoria Prat
0202;B10147058;Càtering Molins
0260;E10220587;Talleres Berenguer
0204;G10294116;Distribucions Ollé
0205;J10367645;Panadería Aizpurua
0206;A10441174;Instal·lacions Sagalés
0207;B10514703;Gestió Ribes
0208;B10588232;Frutas Bermejo
0209;E10661761;Construccions Vidal
0210;G10735290;Laboratoris Vinyals
0211;J10808819;Autoescola Mireia
0212;A10882348;Perruqueria Nogués
0213;B10955877;Ferretería Del Amo
0214;B11029406;Farmàcia Costa
0215;E11102935;Textils Aymerich
0216;G11176464;Impremta Gassó
0217;J11249993;Neumáticos Larrea
0218;A11323522;Bodega Sanchís
0219;B11397051;Clínica Veterinària Puig
0220;B11470580;Consultors Bassols
0221;E11544109;Serveis Informàtics Grau
0222;G11617638;Menjars Duran
0223;J11691167;Rètols Illa
0224;A11764696;Jardineria Corominas
0225;B11838225;Transportes Ibáñez
0226;B11911754;Assegurances Feliu
0227;E11985283;Òptica Miralles
0228;G12058812;Forn Casadevall
0229;J12132341;Electricitat Roure
0230;A12205870;Missatgeria Turó
0231;B12279399;Papereria Comes
0232;B12352928;Marbres Serradell
0233;E12426457;Càmping Riells
0234;G12499986;Hostal Pontons
0235;J12573515;Fisioteràpia Alsina
0236;A12647044;Cotxes Salvans
0237;B12720573;Pintures Bosch
0238;B12794102;Alimentació Quintana
0239;E12867631;Vidres Munné
0240;G12941160;Serralleria Espinal
0241;J13014689;Neteges Aranda
0242;A13088218;Tallers Mercader
0243;B13161747;Formació Vergés
0244;B13235276;Immobiliària Solé
0245;E13308805;Bar Restaurant Ramonet
0246;G13382334;Peixateria Cinta
0247;J13455863;Reformes Gispert
0248;A13529392;Fotografia Rull
0249;B13602921;Llibreria Guasch
0250;B13676450;Sabateria Tresserras
0251;E13749979;Floristeria Andreu
0252;G13823508;Cerrajería Ochoa
0253;J13897037;Herboristeria Ventura
0254;A13970566;Taxis Coll
0255;B14044095;Acadèmia Ferrer
0256;B14117624;Fusteria Balcells
0257;E14191153;Assessoria Vinyoles
0258;G14264682;Càtering Torrents
0259;J14338211;Talleres Zabala
